name,org,school,company,industry
Charles Blaschke,Pi Kappa Alpha (F),Missouri University of Science and Technology,taka solutions,Technology
Philip Schloss,Pi Kappa Alpha (F),Missouri University of Science and Technology,taka solutions,Technology
Michael Kao,Pi Kappa Phi (F),"University of California, Berkeley",Akanthos Capital Management,Finance
Ben Hill Griffin,Pi Kappa Phi (F),University of Florida,"Ben Hill Griffin, Inc.",Food/Beverage
Lonnie C. Poole Jr.,Pi Kappa Phi (F),North Carolina State University,Waste Industries USA,Utilities/Energy
Bruce Rogers,Pi Kappa Phi (F),Stetson University,KRG Capital,Finance
Kevin Smilak,Pi Kappa Phi (F),"University of California, Los Angeles",Scour,Technology
Gregg Kaplan,Pi Kappa Phi (F),University of Michigan,Redbox,Retail
"David Morgan, Sr.",Pi Kappa Phi (F),Northwestern State University,United Teacher Associates,Professional/Business Services
Matthew Friedman,Pi Kappa Phi (F),University of Florida,Wing Zone,Food/Beverage
Adam Scott,Pi Kappa Phi (F),University of Florida,Wing Zone,Food/Beverage
Dave Liniger,Pi Kappa Phi (F),"Indiana University, Bloomington",RE/MAX,Real Estate
Kelley Bergstrom,Pi Kappa Phi (F),Iowa State University,Bergstrom Investment Management,Finance
Todd Dipaola,Pi Kappa Phi (F),"University of California, Berkeley","inMarket, Vantage Media",Technology
David Beahm,Pi Kappa Phi (F),Elon University,David Beahm Experiences,Professional/Business Services
Stephen DePalma,Pi Kappa Phi (F),New Jersey Institute of Technology,Schoor DePalma,Law
Parker Petit,Pi Kappa Phi (F),Georgia Institute of Technology,"MiMedx, Matria Healthcare",Health
Jack Roeser,Pi Kappa Phi (F),University of Illinois,Otto Engineering,Manufacturing
Don Kerr,Pi Kappa Phi (F),Roanoke College,Kerr Industries,Manufacturing
Charles Gavin,Pi Kappa Phi (F),Auburn University,MFG Chemical,Manufacturing
Thomas Sayre,Pi Kappa Phi (F),University of North Carolina at Chapel Hill,Clearscapes,Professional/Business Services
Richard Viguerie,Pi Kappa Phi (F),University of Houston,American Target Advertising,Professional/Business Services
Rick Smith,Pi Kappa Phi (F),University of Florida,Fast Radius,Technology
Gene Sharp,Pi Lambda Phi (F),Ohio State University,Albert Einstein Institution,Education
Bennett Cerf,Pi Lambda Phi (F),Columbia University,Random House,Media
Mark Cuban,Pi Lambda Phi (F),University of Pittsburgh,"Broadcast.com, formerly Audionet",Technology
Jack Dreyfus,Pi Lambda Phi (F),Lehigh University,Dreyfus Funds,Finance
Hal Halpin,Pi Lambda Phi (F),Florida Institute of Technology,Entertainment Consumers Association,Nonprofit
Milton Kutsher,Pi Lambda Phi (F),University of Pennsylvania,Kutsher's Sports Academy,Sports
Chuck Steinmetz,Pi Lambda Phi (F),University of Florida,All-American Pest Control,Other
Alvin Cassel,Pi Lambda Phi (F),University of Florida,Broad and Cassel,Law
Murray Feingold,Pi Lambda Phi (F),Thomas Jefferson University,Genesis Fund,Health
Nihal Mehta,Pi Lambda Phi (F),University of Pennsylvania,"Qualia Media, formerly LocalResponse",Professional/Business Services
